,Electricity,Natural gas,Oil fuel,Wood fuel,Heating
2017,0.079,0.227,0.324,0,0.101
2018,0.079,0.227,0.324,0,0.101
2019,0.079,0.227,0.324,0,0.101
2020,0.079,0.227,0.324,0,0.101
2021,0.079,0.227,0.324,0,0.101
2022,0.079,0.227,0.324,0,0.101
2023,0.079,0.227,0.324,0,0.101
2024,0.079,0.227,0.324,0,0.101
2025,0.079,0.227,0.324,0,0.101
2026,0.079,0.227,0.324,0,0.101
2027,0.079,0.227,0.324,0,0.101
2028,0.079,0.227,0.324,0,0.101
2029,0.079,0.227,0.324,0,0.101
2030,0.079,0.227,0.324,0,0.101
2031,0.075,0.216,0.324,0,0.097
2032,0.071,0.206,0.324,0,0.093
2033,0.067,0.195,0.324,0,0.089
2034,0.063,0.185,0.324,0,0.086
2035,0.059,0.174,0.324,0,0.082
2036,0.055,0.164,0.324,0,0.078
2037,0.051,0.153,0.324,0,0.074
2038,0.047,0.142,0.324,0,0.07
2039,0.043,0.132,0.324,0,0.066
2040,0.04,0.121,0.324,0,0.062
2041,0.036,0.111,0.324,0,0.058
2042,0.032,0.1,0.324,0,0.055
2043,0.028,0.09,0.324,0,0.051
2044,0.024,0.079,0.324,0,0.047
2045,0.02,0.069,0.324,0,0.043
2046,0.016,0.058,0.324,0,0.039
2047,0.012,0.047,0.324,0,0.035
2048,0.008,0.037,0.324,0,0.031
2049,0.004,0.026,0.324,0,0.027
2050,0,0.016,0.324,0,0.024
