decile,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29131567929224655,0.5654951421555374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20100430061676222,0.0,0.07517888250561924,1.006504677491541,2.7116229655903945,0.7615450003640541,0.8056561176009637,1.5948665619190623,2.7531831641733535,6.511076122398019,1.2461379494562754,0.14103502174109814,0.0,0.0,0.24541428546316163,0.5112632626111826,2.379543994141355,4.5825468591904475,2.5036181824411767,1.1499252804254245,2.240421225553031,0.0743521457477742,0.0,2.1146746216341548,4.144846602369928,1.30771646142594,1.7432811500547154,0.6572119276550904,2.244933633456019,5.577172490636884,3.476421642782897,2.860465996819508,2.0006939402515536,3.40434394765092,1.7951728355676884
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6593775065953098,1.2036624830007132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.485955459256698,2.884501773851237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26267681220792727,0.5924851610182568,0.15287915631236162,0.5108561163214921,2.266387830881499,5.215841593914203,3.2209006758831946,1.0847170949663918,2.240909192920655,4.210901933437165,11.409039152951333,6.479535608995615,1.7219927031381081,0.6027624545758271,0.3778909254776548,1.6477265649364512,1.7144258354137154,4.241715265296499,8.603210906918115,5.121177357161558,2.8100903201382783,6.260249997715903,1.683169821736447,0.0,4.978073489994988,11.02574942737741,3.438916888247894,3.0790564791356436,1.8553894985222577,4.242271455282063,11.312251463454297,8.05341364297635,4.9088436324207505,3.524323242898911,5.67351245848907,3.4767495834269746
d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1341025956212598,2.166097018375223,0.0,0.0,0.0,0.1559513232488564,0.30272903924778005,0.0,0.0,0.0,0.0,0.0,0.0,2.294867567601771,4.454742925344614,0.0,0.17131264815410063,0.3113185808227628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5565374532344036,0.9778490555050073,0.39084685736284563,0.919559256037504,3.4894661883174307,7.6739499784507945,4.462866794089886,1.4050227767498455,3.069775230697587,5.150999893884019,13.37627872368466,8.12355421749265,2.7213974605689133,1.866737458824269,0.7811095521438594,2.8182387348486793,2.5745397353517268,6.186210473394423,12.19617061329235,6.633191473764572,4.673484592549066,9.575187771242739,2.5512242307918016,0.11743784409041695,5.9200229599476755,13.787212975163888,5.964473899882875,5.428908168154848,3.689959851438949,5.196281573849325,14.411799392922466,10.21295427734718,6.8425662816229265,5.5911960614298,7.704863528420076,4.775442149506387
d4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6001506070355154,2.7975152550355746,0.0,0.0,0.0,0.35610783039760197,0.5476001924992097,0.0,0.0,0.0,0.0,0.0,0.0,4.153369430950732,8.062423013022007,0.0,0.3420883442493202,0.6640538447192686,0.0,0.0,0.0,0.045241211944404544,0.26585111228538183,0.2728273763916656,0.14123338708265848,0.7236607940523504,1.284742643565773,0.8622774020660336,1.380183427375027,4.549885131093324,9.946810061968009,5.919080536729166,1.8065336458443226,4.308478359398439,8.308165824885936,17.25935527031008,10.215643818358732,5.974169812101669,3.358663448849795,2.3645837770599925,5.086085856179688,3.7775239244616525,8.463133069856568,16.62780876653943,10.735919446543118,5.5050930591406795,11.831445412228287,3.6324793943202542,0.30078792790282183,8.535793010955809,17.49905856731887,7.596154950674849,7.274021325420563,5.532364627304045,6.478066005323858,15.480378957041834,13.04649231164105,9.227364025615492,7.934277690373252,11.250262940584836,6.967300004817588
d5,0.0,0.06058051427545024,0.010650564439704482,0.0,0.0,0.0,0.0,0.0,1.8027313672499543,3.5019725362827883,0.27822432613062653,0.24838112195485587,0.0,0.8152186729750742,1.4182644300357048,0.0,0.5487143185993507,1.0651513243399162,0.0,0.0,0.12796462317216445,8.212520698401159,15.177455074357173,0.0,1.0132998230000514,1.9669937740589232,0.0,0.0,0.0,0.24687056046107247,0.8092915231625718,0.9208488909497501,0.531511180222805,1.6598398975934496,3.0696987721787052,1.6027958509936338,1.9502005663839368,5.773930970948657,11.131545228551191,7.103955205930092,2.5809807807722067,6.00613418629242,11.588648983997475,22.85027126183816,16.60567995523914,9.307800591465348,6.764101277230725,5.098294921698045,9.331573048395704,5.52293318402787,14.590253816907412,29.502996223079045,20.32383801854032,8.497582691558225,15.19024684143109,5.056348418639911,0.5880085610432835,12.7307491459665,30.51641434095028,15.32538164186054,12.292436047382417,8.394000078518498,9.645502733601358,23.260251618964276,17.38083007867488,11.559746246424561,14.102921725666082,24.292453841365024,13.71453987590901
d6,0.0,0.11571274999836477,0.11515450010602174,0.0,0.0,0.0,0.0,0.022985830908348038,2.298295901342538,4.183205870951797,0.6702301322541487,0.5400825154300397,0.04874316279104861,1.2092223869141063,2.338062352948048,0.059406033480385506,1.0865155795615387,2.044984517185089,0.0,0.03746001757804337,0.4977294891960122,11.258495439484456,20.400667629830508,0.0,1.9111208122397028,3.7098227531711876,0.0,0.0,0.18513596022439652,0.5342773869770095,1.494229724065753,2.1564744779749114,1.021044831910162,2.5385028889161547,4.293426593292458,2.625216364104712,3.428877376250222,7.463975712838183,12.734140454635039,8.330080337465246,3.542482272367255,8.510823703061343,14.744614335642085,30.262448951978946,19.944446516399314,12.497998775538345,10.788696932701816,6.376596875929879,12.683246446524732,8.041474659916297,17.14241230346804,32.84737673600086,23.44770636421952,11.788449063792836,17.792976797608507,7.074600745617703,1.7280330185778292,15.164612741928392,36.26551900940419,21.131412947340362,16.857299120849657,12.196462959247851,14.991882309498882,32.24630001242482,23.19113447029618,16.066175884719126,18.280882937499314,31.22484663263931,18.147501485463117
d7,0.03403030462729802,0.2798653438276766,0.244554039250295,0.0,0.0,0.0,0.0,0.08735460528641653,2.966762889061365,5.646666219534786,1.1056366008345764,1.1960544099416404,0.09530915814543121,1.934786688465819,3.7119010936563175,0.6504249001352118,1.9247282555467211,3.4059845238185074,0.0,0.2216705017682014,1.6525521925412836,14.280779457475012,24.087254596165355,0.11784373593720418,3.31477887473641,5.728036126859747,0.0,0.14464682688092767,0.8351555683390908,1.6439994797122912,2.0099962226847907,2.878523561191949,2.0032599276553924,3.04639557019338,5.659426761866934,3.7195745100900903,5.13542639046315,8.424958204304454,14.516218318250178,10.49722226159851,4.5884199087899304,11.270068314309384,18.577062211381854,34.97460117128444,22.71788852869496,14.683258201539974,12.301078732227577,8.018636137992182,15.779111672939585,10.531721558350814,20.73594235064646,37.245705305474,26.793533656265975,13.419392290128272,21.118328729434324,9.179874818281307,2.447511782919903,17.26826850727681,41.91411356528123,24.218373064097605,19.306618862182365,16.835422912477,17.241774066151635,36.381382547167334,29.022967774168173,17.639271649135132,19.765239987900298,34.28773949841021,21.424316815161745
d8,0.14134659757966206,0.30009248513879244,0.5031794090209976,0.0,0.13791582821456538,0.2677189606518034,0.0,0.20155206603235293,4.308983575178433,7.916741680709568,1.5955062700312728,1.8426321351449881,0.2646306985267281,2.725919355209829,4.617099919036305,1.1402728018951602,2.414144868809419,3.912692231084061,0.0,0.6685895924871813,2.714805903527931,17.769171552240092,27.93591120140472,0.22391650575189717,4.863303885738961,7.029051845955663,0.0,0.2682858463234321,1.2909595294416152,2.018927211565195,2.660525756275831,4.503714081630498,3.4609300199579813,3.7991620138178988,7.320848024976275,7.554222191964737,8.039681963769196,12.775450660730392,17.787828197948432,11.709269032040266,5.0200028963309204,12.916808273163666,23.02942642189177,44.20621155666629,26.411201519681025,16.26044775153256,13.921739683734575,8.731086695723096,16.76228893805707,14.453615626784973,28.890394566237198,44.758847274864294,34.68354806010724,19.354289968461615,23.771837811345684,10.26262189937064,2.9903510656851156,21.970160711746555,54.561344634220134,33.51851847655587,29.750988062490702,23.945471559437674,23.25119667166719,45.22980937100639,32.87699304576488,22.65050608496909,25.427217627579477,42.923158492659766,30.823741435777297
d9,0.21616848813472786,0.8410336992209357,0.8638978565779887,0.0,0.6155815765035515,1.1949524720363058,0.0,0.2314409960774316,4.613397702563903,9.242632943306608,3.276094706141579,2.415355340454951,0.6528667264099973,4.680355460286394,7.184659746071535,2.233222172381289,4.6984953319283855,5.013162567512797,0.38887459891411463,1.9341956167960945,4.329348929197851,18.186275107578133,29.717688499894752,0.8383572960027578,5.2194511123667695,8.005311335805409,0.07918318241393167,0.595926212306589,2.44149188025001,3.838142193582103,3.2551969366816986,4.73168909278873,3.6644870671738,4.77538141703457,9.475241530428951,8.409346357336897,9.020562671571984,13.704488070649582,22.107735407460282,16.541471850304617,9.138978773294463,19.583454923662185,24.797176332710812,46.36534089619097,28.236875942944394,18.2126732585371,16.337229181346515,10.263839043357951,20.276458495357637,18.682308769652195,32.10523215742731,48.138857915668474,35.27558758604721,20.588959028672768,26.08998193997693,11.53440575355837,3.1258912407323707,22.900088191381787,55.10759537507808,35.226603225613225,30.15363048294165,25.736360729654372,26.78407429254181,53.38185274109716,40.76489006088879,26.927574614055533,28.303329463401322,48.89194371131883,35.723125935719246
d10,0.4523420092002201,1.683867229286853,1.564183624951159,0.0,0.8369777515479768,1.6247215177107786,0.0,0.7377651487177422,9.469500521348875,17.6051277919977,6.653203924225828,5.3696976008025805,1.077009691433728,7.22527323121661,11.417131242384675,3.2976346977753863,4.797514729149585,7.170986823094636,0.6589131718164253,3.7502701641245153,7.0290667156945235,18.970792013615164,29.834520518898987,1.315876490133315,5.979115056942948,9.197647575164968,0.11234446983068594,0.8051628728728963,3.544371370738093,4.874412815833218,3.566956227045522,5.457867699458664,4.646966319212279,5.3122808609794365,10.430435684277885,8.929975723213833,10.30372396167056,14.960196008615224,23.99174547089743,18.74179455311551,11.408982040726254,23.640995309764108,25.854782519042516,48.587012920421486,29.768927519506583,20.54686567918477,16.903699548963203,10.347467476787246,20.372727368570693,19.24005259640387,33.81946466103228,50.49593942253338,37.74884612812879,21.928647314494313,27.24700853578204,13.042975406522222,4.306545795420393,23.61754243713446,56.89740588888011,38.266095027659446,32.88881422392733,27.68320315519038,28.221195826179308,57.341353913878805,46.332167840915574,27.880980575641885,31.486160176709472,55.69394528837905,41.07072120541038
