Housing type,Occupancy status,Income owner,Income tenant,Wall,Floor,Roof,Windows,Heating system,Stock buildings
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Electricity-Heat pump,1154.718085
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Natural gas-Performance boiler,672.1390132
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Oil fuel-Performance boiler,47.83749719015598
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Wood fuel-Performance boiler,4.187461506827357
Multi-family,Owner-occupied,D1,D1,0.2,0.5,0.2,2.6,Natural gas-Performance boiler,3668.964694
Multi-family,Owner-occupied,D1,D1,0.2,0.5,0.2,2.6,Wood fuel-Performance boiler,10.075483754536776
Multi-family,Owner-occupied,D1,D1,0.2,0.5,0.3,2.6,Oil fuel-Performance boiler,115.102174673432
Multi-family,Owner-occupied,D1,D1,0.4,0.9,0.3,2.6,Electricity-Performance boiler,16076.5477
Multi-family,Owner-occupied,D1,D1,0.4,0.9,0.5,2.6,Electricity-Heat pump,1070.382003
Multi-family,Owner-occupied,D1,D1,0.5,0.5,0.3,1.3,Electricity-Performance boiler,5649.117553
Multi-family,Owner-occupied,D1,D1,0.5,0.9,0.5,2.6,Natural gas-Performance boiler,19320.38491
Multi-family,Owner-occupied,D1,D1,0.5,0.9,0.5,2.6,Oil fuel-Performance boiler,882.0486390399556
Multi-family,Owner-occupied,D1,D1,0.5,0.9,0.5,2.6,Wood fuel-Performance boiler,77.21024175757529
Multi-family,Owner-occupied,D1,D1,0.5,0.9,2.5,3.0,Electricity-Performance boiler,15750.03149
Multi-family,Owner-occupied,D1,D1,1.0,0.9,0.5,3.0,Natural gas-Performance boiler,29695.48157
Multi-family,Owner-occupied,D1,D1,1.0,0.9,0.5,3.0,Wood fuel-Standard boiler,180.88376100391136
Multi-family,Owner-occupied,D1,D1,2.5,0.9,0.5,3.0,Electricity-Performance boiler,11571.89359
Multi-family,Owner-occupied,D1,D1,2.5,0.9,0.5,3.0,Oil fuel-Performance boiler,2066.4133615703245
Multi-family,Owner-occupied,D1,D1,2.5,0.9,2.5,3.0,Wood fuel-Standard boiler,116.25038878157946
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Electricity-Performance boiler,9309.862328
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Natural gas-Standard boiler,16453.52999
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Oil fuel-Performance boiler,1328.0426906913235
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,4.3,Natural gas-Standard boiler,5988.21268
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,4.3,Oil fuel-Standard boiler,760.0452157384991
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,4.3,Wood fuel-Standard boiler,66.53065631134626
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Electricity-Heat pump,4021.814939
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Natural gas-Performance boiler,4782.890366
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Oil fuel-Performance boiler,76.27998495413436
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Wood fuel-Performance boiler,6.677178353773448
Multi-family,Owner-occupied,D10,D10,0.2,0.5,0.2,2.6,Natural gas-Performance boiler,25210.93669
Multi-family,Owner-occupied,D10,D10,0.2,0.5,0.2,2.6,Wood fuel-Performance boiler,99.2040708371926
Multi-family,Owner-occupied,D10,D10,0.2,0.5,0.3,2.6,Oil fuel-Performance boiler,1133.3058112149215
Multi-family,Owner-occupied,D10,D10,0.4,0.9,0.3,2.6,Electricity-Performance boiler,93028.31983
Multi-family,Owner-occupied,D10,D10,0.4,0.9,0.5,2.6,Electricity-Heat pump,9959.807533
Multi-family,Owner-occupied,D10,D10,0.5,0.5,0.3,1.3,Electricity-Performance boiler,32654.31993
Multi-family,Owner-occupied,D10,D10,0.5,0.9,0.5,2.6,Natural gas-Performance boiler,117279.6952
Multi-family,Owner-occupied,D10,D10,0.5,0.9,0.5,2.6,Oil fuel-Performance boiler,6071.405706929946
Multi-family,Owner-occupied,D10,D10,0.5,0.9,0.5,2.6,Wood fuel-Performance boiler,531.4612842105962
Multi-family,Owner-occupied,D10,D10,0.5,0.9,2.5,3.0,Electricity-Performance boiler,66784.65787
Multi-family,Owner-occupied,D10,D10,1.0,0.9,0.5,3.0,Natural gas-Performance boiler,187326.8782
Multi-family,Owner-occupied,D10,D10,1.0,0.9,0.5,3.0,Wood fuel-Standard boiler,1232.0013202896414
Multi-family,Owner-occupied,D10,D10,2.5,0.9,0.5,3.0,Electricity-Performance boiler,45159.47582
Multi-family,Owner-occupied,D10,D10,2.5,0.9,0.5,3.0,Oil fuel-Performance boiler,14074.36452885202
Multi-family,Owner-occupied,D10,D10,2.5,0.9,2.5,3.0,Wood fuel-Standard boiler,627.5064987000923
